;date;Italy;US;Spain;Germany;Korea, South;Italy-fP;US-fP;Spain-fP;Germany-fP;Korea, South-fP
0;2020-02-26;453;15;13;27;1261;453.0;15.0;13.0;27.0;1261.0
1;2020-02-27;655;16;15;46;1766;491.1516571655873;18.66927314878395;14.412958508467796;29.600863313282392;1299.1932187262476
2;2020-02-28;888;16;32;48;2337;532.5127338554543;23.236099160913877;15.979485523670741;32.4522437166058;1338.4840290213256
3;2020-02-29;1128;24;45;79;3150;577.3525627432501;28.920021805429503;17.716270803853448;35.57826733654483;1378.9002671521912
4;2020-03-01;1694;30;84;130;3736;625.9629648542403;35.99427835653101;19.64181745183;39.00538277370415;1420.4702404302973
5;2020-03-02;2036;53;120;159;4335;678.6601072989516;44.79893297206924;21.77663932341231;42.76258489948381;1463.2227192477478
6;2020-03-03;2502;73;165;196;5186;735.7865094059183;55.75721200085842;24.143479268318355;46.88165959785666;1507.1869276679713
7;2020-03-04;3089;104;222;262;5621;797.7132123801384;69.39583601011273;26.767551142116925;51.397452122444825;1552.3925322819296
8;2020-03-05;3858;174;259;482;6088;864.842121680653;86.37031429904104;29.676808328887333;56.34816140603246;1598.8696296647847
9;2020-03-06;4636;222;400;670;6593;937.6085366010786;107.49642210113701;32.902241247151224;61.775662516025776;1646.6487345269904
10;2020-03-07;5883;337;500;799;7041;1016.4838797707938;133.789352867664;36.47820709978667;67.72585992471653;1695.7607586343838
11;2020-03-08;7375;451;673;1040;7314;1101.978635778843;166.51242635716756;40.44279530443912;74.24907448936288;1746.2370002644498
12;2020-03-09;9172;519;1073;1176;7478;1194.6455392716057;207.2376699011963;44.83823316090213;81.40046857820005;1798.1091157285261
13;2020-03-10;10149;711;1695;1457;7513;1295.0829875138338;257.9211527540392;49.71133472773721;89.24051053884862;1851.4091064413801
14;2020-03-11;12462;1109;2277;1908;7755;1403.9387338581384;320.99665332860087;55.11399857063833;97.83548432251557;1906.1692859816324
15;2020-03-12;15113;1561;2277;2078;7869;1521.9138505429532;399.49208329777343;61.10375978658101;107.25804773766751;1962.422262104549
16;2020-03-13;17660;2157;5232;3675;7979;1649.767005078405;497.1741545109054;67.7444015650423;117.58784430408379;2020.2008998200838
17;2020-03-14;21157;2870;6391;4585;8086;1788.3190516911968;618.7280703704741;75.10663301603284;128.9121734176523;2079.538297152819
18;2020-03-15;24747;2968;7798;5795;8162;1938.4579661985115;769.9805985104525;83.26884040454591;141.32672446858192;2140.4677446077244
19;2020-03-16;27980;4360;9942;7272;8236;2101.144142348154;958.1768382215167;92.31791978305267;154.9363810218675;2203.022693220593
20;2020-03-17;31506;6141;11748;9257;8320;2277.4160739204467;1192.3233299895471;102.35019946899;169.85610185761067;2267.2367087360885
21;2020-03-18;35713;8917;13910;12327;8413;2468.39644219284;1483.6129871208361;113.4724622765505;186.21188578554003;2333.143434533331
22;2020-03-19;41035;14157;17963;15320;8565;2675.298631521805;1845.9507391580262;125.80307836360356;204.14182733085332;2400.7765514736147
23;2020-03-20;47021;19479;20410;19848;8652;2899.4336944419433;2296.602731504398;139.4732606954726;223.79727502757427;2470.1697019133376
24;2020-03-21;53578;25825;25374;22213;8799;3142.217786684021;2856.996596755346;154.62845500661763;245.34409713047006;2541.356472839002
25;2020-03-22;59138;33761;28768;24873;8961;3405.180094585574;3553.705577952736;171.42988030614623;268.964068254479;2614.3703070241854
26;2020-03-23;63927;43850;35136;29056;8961;3689.9712723114126;4419.655015541519;190.05623580533285;294.856388086052;2689.2444624838313
27;2020-03-24;69176;54112;39885;32986;9037;3998.3723979038687;5495.595819931884;210.70559009979075;323.2393407219655;2766.0119482096475
28;2020-03-25;74386;66055;49515;37323;9137;4332.3044849438065;6831.895063783402;233.59747451541134;354.3521143510876;2844.705433702411
29;2020-03-26;80589;84091;57786;43938;9241;4693.838514749726;8490.698504009706;258.9752015213376;388.4567879605411;2925.357214944092
30;2020-03-27;86498;102276;65719;50871;9332;5085.206065524403;10548.52120438443;287.1084300091764;425.8405068123776;3007.9990953937763
31;2020-03-28;92472;122069;73235;57695;9478;5508.810433931969;13099.31866056353;318.2960068146948;466.81786154125575;3092.662338770541
32;2020-03-29;97689;141205;80110;62095;9583;5967.238381341192;16258.077534652512;352.86911192672164;511.73348614659125;3179.377574406932
33;2020-03-30;101739;162707;87956;66885;9661;6463.2723008859175;20164.936727982575;391.1947372121524;560.964902719469;3268.1746866976723
34;2020-03-31;105792;188724;95923;71808;9786;6999.903014059767;24989.797765621166;433.6795377424361;614.9256235597383;3359.0827650984284
35;2020-04-01;110574;214205;104118;77872;9887;7580.34285663465;30937.296719987582;480.7740917067865;674.068544322461;3452.129953870937
36;2020-04-02;115242;244610;112065;84794;9976;8208.03935983655;38251.87525593206;532.9776092705617;738.8896470050773;3547.343389983592
37;2020-04-03;119827;276547;119199;91159;10062;8886.68900877015;47222.48777203223;590.8431419768176;809.9320392889189;3644.7490874756418
38;2020-04-04;124632;309699;126168;96092;10156;9620.251501785371;58186.20312125557;654.9833394308307;887.7903670474825;3744.3718038683683
39;2020-04-05;128948;337573;131646;100123;10237;10412.963769172582;71529.59340081591;726.0768074016328;973.1156175685817;3846.234929564032
40;2020-04-06;132547;367215;136675;103374;10284;11269.354308995215;87686.36780919512;804.8751345487102;1066.620361916658;3950.3603704886864
41;2020-04-07;135586;397992;141942;107663;10331;12194.25683009379;107129.25869304617;892.2106477089344;1169.084456722461;4056.7684451538103
42;2020-04-08;139422;429686;148220;113296;10384;13192.823899554074;130353.82799111954;989.0049674022474;1281.3612611126944;4165.477716140901
43;2020-04-09;143626;464442;153222;118181;10423;14270.539279468716;157851.85085368727;1096.2784494090631;1404.3843858084351;4276.5048713190945
44;2020-04-10;147577;497943;158273;122171;10450;15433.22977678617;190072.55920076428;1215.1605879482345;1539.1750353355642;4389.86458844054
45;2020-04-11;152271;527969;163027;124908;10480;16687.07496704453;227371.65614764942;1346.9014736430256;1686.8499768620745;4505.5693805507635
46;2020-04-12;156363;556522;166831;127854;10512;18038.615700241047;269950.8716011666;1492.8844116393582;1848.6301857543565;4623.629453580648
47;2020-04-13;159516;581813;170099;130072;10537;19494.75943914032;317794.8133216087;1654.63979077331;2025.8502104672832;4744.052553443198
48;2020-04-14;162488;608878;172541;131359;10564;21062.783340588932;370616.1516185995;1833.8603390121043;2219.9683098426203;4866.843807221381
49;2020-04-15;165155;637974;177644;134753;10591;22750.33288192198;427823.1638844023;2032.4178480701034;2432.5774027894686;4992.00557092903
50;2020-04-16;168941;669272;184948;137698;10613;24565.41681447306;488523.2594872606;2252.3815297649735;2665.4168889371686;5119.537263779346
51;2020-04-17;172434;701996;190839;141397;10635;26516.39612523311;551570.82240038;2496.0381023418176;2920.3853744350104;5249.435200242442
52;2020-04-18;175925;730337;191726;143342;10653;28611.96747991995;615657.7470653965;2765.913766700255;3199.5543622047376;5381.692434438437
53;2020-04-19;178972;756375;198674;145184;10661;30861.13890885982;679433.3760296808;3064.7981886437415;3505.1829249247025;5516.2985827666325
54;2020-04-20;181228;783716;200210;147065;10674;33273.19768844628;741631.6017028884;3395.7706316716612;3839.7334242989928;5653.239653503427
55;2020-04-21;183957;809318;204178;148291;10683;35857.668527164555;801180.7396056603;3762.2283770391814;4205.888266847797;5792.497895434152
56;2020-04-22;187327;837422;208389;150648;10694;38624.261294969285;857277.2875759441;4167.917544663679;4606.567751165842;5934.051603186663
57;2020-04-23;189973;871617;213024;153129;10708;41582.80704395649;909415.4489953197;4616.966449257032;5044.948967256429;6077.8749436078
58;2020-04-24;192994;907908;202990;154999;10718;44743.18076856763;957375.5488407472;5113.921560165172;5524.485766972679;6223.937823999088
59;2020-04-25;195351;940829;205905;156513;10728;48115.21051380496;1001182.4610349729;5663.786153845096;6048.929736668171;6372.205716194237
60;2020-04-26;197675;968518;207634;157770;10738;51708.57069079371;1041048.1004900417;6272.061690275521;6622.3521184222855;6522.639458224457
61;2020-04-27;199414;990983;209465;158758;10752;55532.66005919948;1077310.722209208;6944.791855521925;7249.166580584864;6675.195114886569
62;2020-04-28;201505;1015518;210773;159912;10761;59596.46234989801;1110380.0083398165;7688.609268119069;7934.1526568105055;6829.823874665471
63;2020-04-29;203591;1043038;212917;161539;10765;63908.39037125893;1140692.7599982845;8510.784558177982;8682.47972541982;6986.471825609638
64;2020-04-30;205463;1072667;213435;163009;10774;68476.11313927184;1168680.547406535;9419.277675717896;9499.731151256523;7145.079819470449
65;2020-05-01;207428;1106829;215216;164077;10780;73306.36546458965;1194748.4418435113;10422.79093341327;10391.928427934614;7305.583405939022
66;2020-05-02;209328;1136024;216582;164967;10793;78404.7462124908;1219262.8313998866;11530.823210602259;11365.5546645929;7467.9126637967875
67;2020-05-03;210717;1161611;217466;165664;10801;83775.49899771514;1242546.031061984;12753.724568529495;12427.577211098862;7631.9920468933515
68;2020-05-04;211938;1184086;218011;166152;10804;89421.28308866452;1264875.5643019567;14102.750374314783;13585.468385635362;7797.740317986614
69;2020-05-05;213013;1208271;219329;167007;10806;95342.94159477975;1286486.3882043075;15590.113368529685;14847.2239162746;7965.070516523463
70;2020-05-06;214457;1233527;220325;168162;10810;101539.26230003774;1307574.7639344428;17229.032293062075;16221.37802368205;8133.889767152242
